NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
26;Man;40;10000-40000 invånare;16;Ja;17;17;Ja;30;Homosexuell;Ja;25;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;29;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Nej;Nej;Nej;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;X;;X;;;;X;;;;;;;X;;X;;;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
27;Man;38;Fler än 150000 invånare;5;Ja;26;13;Ja;17;Homosexuell;Ja;17;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag under långa perioder;Jag träffar homo/bisexuella vänner mycket sällan;Ja;26;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
28;Man;54;40000-150000 invånare;11;Ja;18;12;Ja;15;Homosexuell;Ja;17;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;X;X;;;;X;;;;;;;;X;X;X;X;X;X;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
29;Man;45;40000-150000 invånare;10;Ja;14;15;Ja;17;Homosexuell;Ja;17;Nej;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;X;;;;;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
30;Man;25;40000-150000 invånare;15;Ja;20;25;Ja;30;Bisexuell;Ja;35;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det gör jag då och då;Jag har inga homo/bisexuella vänner;Ja;30;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Ja;Ja;Nej;Nej;;Nej;Ja, jag sammanbor nu med en kvinna;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;Förvärvsarbe;Teater;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;;X;;Ja, någon/några har undvikit kontakt med mig;Jag har diskriminerats;;;;;X;70;Har svarat i fritextfältet;Ja;Nej;Ja, en psykiater och en psykolog;Ja;;;X;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
31;Man;57;Fler än 150000 invånare;13;Ja;16;13;Ja;17;Homosexuell;Ja;16;Nej;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;X;;X;;;;X;;;;;;X;X;;X;;;;X;;;;;Förvärvsarbe;"Hantverk, ""gestaltande"" yrken (frisör), tv/cykelreparationer";Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;X;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;X;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad);Ja
32;Man;52;Fler än 150000 invånare;10;Ja;18;14;Ja;22;Homosexuell;Ja;22;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag under långa perioder;Jag träffar homo/bisexuella vänner mycket sällan;Ja;18;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;X;X;;;X;;;;;X;;;X;;;;;;;;;;;;;;Förvärvsarbe;"Annan konstnärlig verksamhet (""artist"")";Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga;Jag har diskriminerats;X;;;;;70;Har svarat i fritextfältet;Ja;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Nej
33;Man;42;10000-40000 invånare;14;Ja;14;20;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;X;;;;;;;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
34;Man;37;Fler än 150000 invånare;16;Ja;23;16;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för en bekant;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
35;Man;44;Fler än 150000 invånare;12;Ja;22;18;Ja;22;Homosexuell;Ja;18;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;;;;;;;;X;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
36;Man;48;Fler än 150000 invånare;18;Ja;23;18;Ja;23;Homosexuell;Ja;23;Nej;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Ja;Nej;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;;;;;;;;X;;;;;;;;;;;X;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
37;Man;37;Fler än 150000 invånare;12;Ja;12;15;Ja;15;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;12;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Nej;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
38;Man;46;Fler än 150000 invånare;14;Ja;23;14;Ja;23;Bisexuell;Ja;25;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Ja;Ja, jag sammanbor nu med en kvinna;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;X;;;;;;;;;;;;Förvärvsarbe;Industriell tillverkning;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Inget svar; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
39;Man;60;Fler än 150000 invånare;12;Ja;12;16;Ja;17;Homosexuell;Ja;17;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, inte nuförtiden;Jag träffar homo/bisexuella vänner mycket sällan;Ja;11;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Nej;Nej;Inget svar;99;Någon enstaka vet eller förstår det;Ja, för en bekant;;X;;;;;;;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;Studerande;;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
40;Man;54;10000-40000 invånare;12;Ja;13;15;Ja;21;Homosexuell;Ja;17;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;;;X;;;;;;;;;X;;;X;;;;;;;;;Inget svar;Framgår inte, inget svar;Framgår inte, inget svar;framgår inte, inget svar;Flera vet eller förstår det;Inget svar; ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
41;Man;52;Fler än 150000 invånare;12;Ja;12;14;Ja;14;Homosexuell;Ja;14;Nej;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Ja;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;;;;;X;X;;;;;;X;X;X;;;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
42;Man;46;Fler än 150000 invånare;12;Ja;14;18;Ja;23;Homosexuell;Ja;24;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);De flesta vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;;Nej;;;;;;;;;Nej;
43;Man;19;Jag bor på landsbygden;17;Ja;40;25;Ja;40;Homosexuell;Ja;25;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;13;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;;;X;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
44;Man;35;10000-40000 invånare;14;Ja;14;18;Ja;19;Homosexuell;Ja;22;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det gör jag under långa perioder;Jag träffar homo/bisexuella vänner mycket sällan;Ja;19;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Ja;Ja;Inget svar;Nej;Nej;Inget svar;99;Någon enstaka vet eller förstår det;Nej;;;;;;;;;;X;;;;;;;;;;;;;;X;;;;Förvärvsarbe;Poliser, väktare, militärer;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Inget svar; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Ja;X;;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad);Ja
45;Man;42;40000-150000 invånare;99;Ja;10;14;Ja;23;Homosexuell;Ja;16;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det gör jag då och då;Jag träffar homo/bisexuella vänner mycket sällan;Ja;25;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
46;Man;49;10000-40000 invånare;11;Ja;19;18;Ja;19;Homosexuell;Ja;19;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;19;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;;X;;;X;;;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater och en psykolog;Nej;;X;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Nej
47;Man;52;Fler än 150000 invånare;15;Ja;20;17;Ja;20;Homosexuell;Ja;20;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;23;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;Förvärvsarbe;"Annan konstnärlig verksamhet (""artist"")";Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
48;Man;43;Fler än 150000 invånare;16;Jag har aldrig haft sexuellt umgänge med någon av samma kön;Jag har aldrig haft sexuellt umgänge med någon av samma kön;20;Ja;33;Homosexuell;Ja;28;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;37;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;X;;;;;;;;;;;;;X;;;;;Studerande;;;;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
49;Man;54;Fler än 150000 invånare;12;Ja;13;16;Ja;22;Homosexuell;Ja;18;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
50;Man;44;10000-40000 invånare;20;Ja;21;20;Ja;30;Homosexuell;Ja;30;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;30;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
51;Man;32;Jag bor på landsbygden;8;Ja;12;24;Ja;30;Homosexuell;Ja;35;Nej;Ja;Ja, det har jag alltid gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Ja;Ja;Ja;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Jordbruk, fiske, skogsbruk;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;;Jag har inga arbetskamrater (studiekamrater); ; ; ; ;Jag har inga arbetskamrater (studiekamrater);Inget svar; ; ; ; ; ;;;Ja;Ja;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
52;Man;53;Fler än 150000 invånare;12;Ja;15;16;Ja;16;Bisexuell;Jag är osäker på min sexuella läggning;;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;24;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
53;Man;43;40000-150000 invånare;12;Ja;14;15;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;Jag träffar homo/bisexuella vänner mycket sällan;Ja;14;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Nej;Nej;Nej;Nej;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Ja;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
54;Kvinna;45;Fler än 150000 invånare;13;Ja;22;17;Ja;18;Bisexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;X;;X;;;;;;;;;X;X;X;;X;;;;;X;;;Studerande;;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater och en psykolog;Ja;;;X;;X;X;Av någon eller några men inte av andra;Ja, jag har känt mig nedstämd (deprimerad);Ja
